,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction
0,0.0,114.0,114.0,600.0,13.148698836076465,0.06161165492591195,-0.13320618920367158,2.7058033906886607e-05,95.21509257081073,53.19246947531464,0.4561123758446667,61.61165492591197,84.15992875063816,0.023456082959901044,0.2988340644562833,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.15380197031329648,44.0,-30.66952726206593,1.4710470341254676,52.22754654333333,-8.738620000333333,34.25938800000001,0.964922931981306,1.8475363976378,-8.555900764053272,182.71923628006093,0.3371930409750475
1,1.0,507.0,114.0,600.0,27.286996812567054,0.03084161286618492,-0.17095463058126684,2.8027256034368306e-05,53.595591755807924,61.04843547751374,0.3012661475667025,30.84161286618492,46.78666932894646,0.020353199147105216,0.5457399362513412,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.05960502586965605,50.0,-4.921402655608713,1.035331751235399,60.71550456,-8.041531652,2.5717880000000197,0.3329309175137425,0.5483457972168131,-7.981233175984139,60.29847601586091,0.5114824603207607
2,2.0,900.0,114.0,600.0,12.105626095189669,0.07210851411067633,-0.12893272477693868,2.7922394289946526e-05,156.77648676527627,62.61613886047976,0.3291833189328052,72.10851411067634,117.73792483065355,0.020917121092288875,0.2421125219037933,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.05940579681761617,50.0,36.46503602010664,1.770742707257473,62.33766016,-8.288956806,0.0,0.2784787004797593,0.4467262642919181,-8.133277110513003,155.679695486997,0.46318509221839493
3,3.0,1293.0,114.0,600.0,39.087988205251435,0.012684209824466964,-0.18953730242926206,2.808632114635125e-05,4.9671168030958,55.37252735873486,0.000625821672877757,12.684209824466967,4.659436992616825,0.020034899248049742,0.7817597641050287,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0484483551387779,50.0,-16.38480325879977,0.31518619268920395,55.635608485,-8.766010129,0.0,-0.2630811262651491,-0.47286465166652897,-8.74741201180892,18.598117191078956,0.6820158026830404
4,4.0,1686.0,114.0,600.0,21.504813267293507,0.04261417766018413,-0.1586421766503958,2.7952271432024988e-05,117.09965333399636,59.26636482604442,0.13526300545152034,42.61417766018414,99.48694180885445,0.02075931921275517,0.4300962653458701,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08820202807024091,50.0,-10.307039181960404,1.5303571696437164,59.245985675,-8.460731533666667,0.0,0.020379151044423338,0.03439752214810854,-8.37962179747255,81.10973619411688,0.5253891784112974
5,5.0,2079.0,114.0,600.0,1.9759183702778047,0.10352517715854992,-0.03521214375469888,1.9269072349062333e-05,159.11954370191597,57.696660662949476,0.8263459836678864,103.5251771585499,124.30467112208936,0.06984492991824337,0.1317278913518537,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.15312882144739498,15.0,11.647884290112913,3.2569878077953764,56.82225047333333,-8.419928551666667,35.711873666666754,0.8744101896161425,1.5388517391202288,-8.10809679542935,311.8317562373161,0.3319904887421511
6,6.0,2472.0,114.0,600.0,22.575775738074107,0.04101778691393208,-0.16115502603140405,2.8079557353518898e-05,10.171920122222769,55.29993285336084,0.12125317109927565,41.01778691393209,9.666016959997707,0.020072470449679542,0.4515155147614821,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.11941097809997475,50.0,-30.628799946052748,0.4510414642185964,55.18204706,-8.655601097,19.4361569999999,0.11788579336084835,0.21363069991345185,-8.59490396115913,60.69713584087033,0.6757779645726352
7,7.0,2865.0,114.0,600.0,16.705850773545144,0.05522438459420924,-0.14558599790029764,2.789033090201485e-05,172.83241329579377,59.71648766605987,0.18047174201322705,55.22438459420924,141.59280699023046,0.02109047284635372,0.3341170154709029,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.08901418628018609,50.0,1.8158728260975887,1.8592063537746089,59.674814305,-8.454353057,0.0,0.04167336105987118,0.0698340858622152,-8.34345039159655,110.90266540345084,0.4979536280152459
8,8.0,3258.0,114.0,600.0,10.862140295481938,0.0650603240846584,-0.12332868688679338,2.616514041270164e-05,115.62958819070506,50.49448785705097,1.2127050607774317,65.06032408465839,103.84398419486661,0.02665697687004533,0.2785164178328702,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.1188720174406021,39.0,-6.262886379702878,1.7218772417507306,49.83533559,-8.7980553465,51.38908200000003,0.6591522670509704,1.3226604361087848,-8.616428578435348,181.62676806465151,0.3582088960670139
9,9.0,3651.0,114.0,600.0,33.46182811454782,0.020417578197058344,-0.18150199015564164,2.8044384493430548e-05,39.21801966772561,61.53840101558651,0.005193512652642642,20.417578197058337,34.70759429430703,0.02026140850513841,0.6692365622909564,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.038765974155912236,50.0,-2.8420062964890107,0.8856412328671878,61.53991895,-8.216963498666669,0.0,-0.001517934413492128,-0.002466585005946173,-8.181149285230383,35.81421343628577,0.5700970714708459
