,Unnamed: 0,Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Vegards E_hull,var_vol_norm,Smix_HT
0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.82973200000079,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,100.5090850000007,0.0009988862439893457,0.024717611823772946
2,2,0.0,0.0,1.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,85.86779100000052,0.002360960761586392,0.0484582919878343
3,3,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,78.54714400000044,0.0027465686957018442,0.054850545474144446
4,4,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,63.905850000000264,0.002978490736962439,0.05973080072896175
5,5,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,49.264556000000084,0.002553785978934307,0.054850545474144446
6,6,0.0,0.0,1.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,41.943909000000005,0.0021167680757061286,0.0484582919878343
7,7,0.0,0.0,1.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,27.302614999999825,0.0008326362044788168,0.024717611823772946
8,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.98196799999974,0.0,0.0
9,9,0.0,0.0,1.0,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,101.66395916666741,0.005920811186781933,0.024717611823772946
10,10,0.0,0.0,1.0,0.08333333333333333,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.75,87.02266516666724,0.006565911954973973,0.06217092835637042
11,11,0.0,0.0,1.0,0.08333333333333333,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,79.70201816666714,0.006618746369232407,0.07100330947008922
12,12,0.0,0.0,1.0,0.08333333333333333,0.4166666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.4166666666666666,0.5,65.06072416666697,0.006232188498767524,0.07914398059737926
13,13,0.0,0.0,1.0,0.08333333333333333,0.5,0.4166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0.4166666666666666,57.74007716666687,0.005810183837103689,0.07914398059737926
14,14,0.0,0.0,1.0,0.08333333333333333,0.5833333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.5833333333333333,0.3333333333333333,50.4194301666668,0.005246524629859284,0.0764955717675472
15,15,0.0,0.0,1.0,0.08333333333333333,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.25,43.098783166666706,0.004548800766346039,0.07100330947008922
16,16,0.0,0.0,1.0,0.08333333333333333,0.75,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.16666666666666666,35.77813616666663,0.003724205915918011,0.06217092835637042
17,17,0.0,0.0,1.0,0.08333333333333333,0.8333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.8333333333333333,0.08333333333333333,28.457489166666534,0.002779560216836973,0.04878149319166197
18,18,0.0,0.0,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,21.136842166666447,0.0017213315183449518,0.024717611823772946
19,19,0.0,0.0,1.0,0.16666666666666666,0.08333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.75,88.17753933333395,0.010189351286870553,0.06217092835637042
20,20,0.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,80.85689233333386,0.009935224703868048,0.07476081238379836
21,21,0.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,66.21559833333367,0.008978035479658666,0.08715607346603398
22,22,0.0,0.0,1.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,51.5743043333335,0.007474687938933302,0.08715607346603399
23,23,0.0,0.0,1.0,0.16666666666666666,0.75,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.75,0.08333333333333333,29.612363333333242,0.004319312826052581,0.06217092835637041
24,24,0.0,0.0,1.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,89.33241350000065,0.013272608124884264,0.0484582919878343
25,25,0.0,0.0,1.0,0.25,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.6666666666666666,82.01176650000056,0.012735336367948264,0.07100330947008922
