,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction,EOS_abs_correction
53,53,20943,114,600,20.85715548,0.044499934,-0.157061084,2.80E-05,76.98637886,63.3708802,0.175898308,44.4999336,71.81473247,0.020544492,0.41714311,0.416666667,0.416666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.416666667,0.416666667,0.166666667,0.088321356,50,-8.492880215,1.240857598,63.2851915,-8.149074462,0,0.085688707,0.135400882,-8.058521547,90.55291449,0.491424642,46.0529809
54,54,21336,114,600,13.90050966,0.063188857,-0.136081071,2.77E-05,96.11807257,64.80447875,0.506660516,63.18885677,90.6922283,0.021553234,0.289593951,0.583333333,0.083333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.583333333,0.083333333,0.333333333,0.076187932,48,17.47609772,1.415082982,64.14284875,-8.136317508,0,0.661629991,1.031494554,-8.006306291,130.0112172,0.486026192,66.82236046
55,55,21729,114,600,39.38547186,0.012296172,-0.189929312,2.81E-05,4.467135631,58.31329605,0.000842657,12.29617168,4.286329638,0.020032093,0.787709437,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0.048449209,50,-16.7733535,0.298902514,58.38832842,-8.473488487,0,-0.07503236,-0.128505752,-8.455930537,17.5579504,0.700319308,5.261778717
56,56,22122,114,600,26.32242525,0.032698011,-0.169093854,2.80E-05,53.90111519,55.74776992,0.005295711,32.69801081,47.49042946,0.020359352,0.526448505,0.083333333,0.083333333,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,0.083333333,0.833333333,0.048677775,50,3.491345853,1.038278529,56.06443712,-8.759631652,0,-0.316667196,-0.564827211,-8.700135304,59.4963479,0.549580133,26.79833709
57,57,22515,114,600,26.5826697,0.03206331,-0.16960253,2.80E-05,65.51194773,64.22188337,0.02694141,32.06331003,61.1073759,0.020462165,0.531653394,0.416666667,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.416666667,0.583333333,0,0.058370469,50,-2.95897137,1.144656697,64.20276481,-8.051567248,0,0.019118561,0.029778408,-7.993182474,58.38477324,0.549172468,26.32146322
58,58,22908,114,600,17.40769094,0.053882966,-0.147713778,2.80E-05,79.88590653,66.62535501,0.295739752,53.88296577,65.30944416,0.020496824,0.348153819,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0,0.25,0.048313492,50,24.89487069,1.264008754,66.37686598,-7.977299734,0,0.248489028,0.374360893,-7.87074498,106.5547537,0.505683359,52.67178791
59,59,23301,114,600,21.6824317,0.042466867,-0.15906747,2.80E-05,90.40066073,57.21931014,0.394108775,42.46686662,70.28793351,0.020536544,0.433648634,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0.119072382,50,-28.97656276,1.344623819,56.63729204,-8.143910734,14.7415005,0.582018097,1.027623455,-7.987625836,156.2848981,0.271727257,113.8180315
60,60,23694,114,600,24.35070572,0.036635841,-0.165068159,2.80E-05,60.37214948,63.4772857,0.25305493,36.63584086,57.66272922,0.020435527,0.487014114,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.119159475,50,-34.85984392,1.098837108,62.90294233,-8.018983408,1.285894,0.574343373,0.91306281,-7.947228071,71.75533711,0.510566076,35.11949624
61,61,24087,114,600,26.36012828,0.032532965,-0.169167859,2.80E-05,62.74927868,65.12817424,0.050496374,32.53296489,57.06512721,0.020431383,0.527202566,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0.059579239,50,-3.214578331,1.120261386,65.09038009,-7.996435164,0,0.037794145,0.058064103,-7.937644633,58.79053141,0.553370825,26.25756652
62,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
