,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction,EOS_abs_correction
12,12,4830,114,600,36.09656288,0.016728032,-0.185420756,2.81E-05,12.76149581,56.84824237,0.001990307,16.72803172,12.1201785,0.020090889,0.721931258,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.059699049,50,-19.09139749,0.505202847,57.01196845,-8.619749308,0,-0.16372608,-0.287178438,-8.595787816,23.96149194,0.69812146,7.233460213
13,13,5223,114,600,17.87054822,0.05197338,-0.149070589,2.79E-05,134.7864057,57.71942069,0.069503772,51.97337982,122.914331,0.020937861,0.357410964,0.166666667,0.166666667,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.166666667,0.666666667,0.074350933,50,7.362820146,1.641867264,57.86962571,-8.606992355,0,-0.150205021,-0.259557616,-8.51158279,95.40956455,0.544739724,43.43618472
14,14,5616,114,600,13.57733569,0.064888717,-0.134864807,2.77E-05,300.7685142,58.26372711,0.184793018,64.88871714,240.8808137,0.021885795,0.271546714,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.75,0.047915477,50,36.13943115,2.452625182,58.29845434,-8.600613878,0,-0.034727233,-0.059568017,-8.47165732,128.9565583,0.503182762,64.06784116
15,15,6009,114,600,12.45974764,0.066594788,-0.130423503,2.74E-05,108.9971889,59.86432173,0.766706587,66.59478839,92.26545195,0.022503385,0.270864079,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.118950443,46,-4.775477346,1.539319365,58.82472981,-8.12136249,13.4556065,1.039591924,1.767270207,-7.894116161,227.2463293,0.293051107,160.651541
16,16,6402,114,600,13.68461918,0.064187479,-0.135271749,2.77E-05,76.96250956,60.13227335,0.536803536,64.18747887,70.57798482,0.021391209,0.285096233,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.333333333,0.333333333,0.333333333,0.153914203,48,-28.16104315,1.266248639,59.4342518,-8.334835427,12.957438,0.698021552,1.174443239,-8.19836861,136.4668177,0.47035228,72.27933887
17,17,6795,114,600,27.61869183,0.029393044,-0.171579344,2.79E-05,27.64548765,68.18374973,0.05980193,29.39304391,25.32165486,0.020602596,0.563646772,0.833333333,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.833333333,0.083333333,0.083333333,0.048726503,49,0.157142055,0.751128235,68.18205458,-7.824660436,0,0.001695158,0.002486223,-7.770884307,53.77612938,0.54658162,24.38308546
18,18,7188,114,600,27.45140083,0.030523561,-0.171265212,2.80E-05,51.37731049,60.59513763,0.036822944,30.52356093,49.00797654,0.020369911,0.549028017,0.166666667,0.666666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.666666667,0.166666667,0.074600213,50,-14.2365666,1.01367954,60.62234564,-8.314470713,0,-0.027208005,-0.044881149,-8.257530963,56.93974962,0.536067706,26.41618869
19,19,7581,114,600,106.9150833,0.031933726,-0.241562883,3.80E-05,50.89604384,55.26810383,0.005194898,31.93372635,44.17653256,0.005083436,0.534575416,0.083333333,0,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,0,0.916666667,0.024681132,200,17.12504707,0.504460325,55.60565046,-8.808385259,0,-0.337546628,-0.607036561,-8.751936721,56.44853876,0.565713959,24.5148124
20,20,7974,114,600,31.02535373,0.024593687,-0.177593137,2.81E-05,8.562447983,68.99970255,0.012355691,24.59368693,8.279734998,0.020062058,0.620507075,0.916666667,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.916666667,0,0.083333333,0.024708685,50,9.768476209,0.413822377,69.06966986,-7.769528353,0,-0.069967308,-0.101299612,-7.728386903,41.14145015,0.597783667,16.54776322
21,21,8367,114,600,23.35717336,0.034832419,-0.162914342,2.75E-05,23.94538118,55.31756913,0.28710377,34.83241942,20.8416435,0.021909698,0.507764638,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,0,0.094580577,46,-21.91592694,0.721492734,54.86028413,-8.413443659,8.375181333,0.457285006,0.833544727,-8.293030422,120.4132374,0.289274005,85.58081795
